countryID,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
IND,1291132063,1307246509,1322866505,1338636340,1354195680,1360031306,1383112050,1396387127,1407563842,1417173173,1428627663
PAK,205337562,208251628,210969298,213524840,216379655,219731479,213524840,227196741,219731479,235824862,240485658
DEU,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,83294633
GBR,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081234,67026292,66971395,67736802
ITA,60789140,60233948,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425,58870762
FRA,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311,64756584
TUR,76147624,77181884,78218479,79277962,80312698,81407204,82579440,83384680,84147318,84979913,85816199
ARE,8751847,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145,9441129,9516871
IRN,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570,89172767
SAU,31482498,32125564,32749848,33416270,34193122,35018133,35827362,35997107,35950396,36408820,36947025
IRQ,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122,45504560
MLT,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584,37457971,37840044
EGY,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103,112716598
JPN,127445000,127276000,127151000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,123294513
AUS,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26005540,26439111
HKG,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7491609
CHN,1425671352,1412175000,1412360000,1411100000,1407745000,1402760000,1396215000,1387790000,1379860000,1371860000,1363240000
PHL,99700107,101325201,104875266,104875266,106738501,108568836,110380804,112190977,113880328,115559009,117337368
USA,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557,339996563
CAN,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38007166,38226498,38454327,38781291
