countryID,country,region 
IND,India,South Asia
PAK,Pakistan,South Asia 
DEU,Germany,Europe & Central Asia 
GBR,United Kingdom,Europe & Central Asia 
ITA,Italy,Europe & Central Asia 
FRA,France,Europe & Central Asia 
TUR,Turkey ,Europe & Central Asia 
ARE,United Arab Emirates ,Middle East & North Africa
IRN,Iran,Middle East & North Africa
SAU,Saudi Arabia,Middle East & North Africa 
IRQ,Iraq,Middle East & North Africa
MLT,Morocco,Middle East & North Africa 
EGY,Egypt,Middle East & North Africa 
JPN,Japan,East Asia & Pacific 
AUS,Australia ,East Asia & Pacific 
HKG,Hong Kong ,East Asia & Pacific 
CHN,China ,East Asia & Pacific 
PHL,Philippines ,East Asia & Pacific 
USA,United States ,North America 
CAN,Canada,North America 
