Substance ,Sector,CountryID,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021
CO2,Building ,AUS,19.95006556,20.39521904,21.02571285,21.81001967,22.36981671,22.52842048,21.19660699,19.67644316,18.92678748
CO2,Building ,CAN,86.45315739,91.28947481,88.01189857,85.75530152,90.59191975,96.79459341,96.94526854,91.31583814,95.21716421
CO2,Building ,CHN,675.0502881,683.9726186,716.8763369,724.9413293,723.3640927,658.760672,612.4778199,628.275662,671.9204197
CO2,Building ,EGY,18.23652277,18.75927698,19.16814379,19.69748132,19.63754688,19.71430354,19.63979973,17.57943779,18.95832397
CO2,Building ,FRA,92.3240171,76.71075127,79.53496039,79.0151702,78.58366582,74.55975137,72.9264134,65.36451943,69.9547327
CO2,Building ,DEU,147.7424461,127.0381872,130.7197489,134.2992671,132.4233851,127.6493477,128.2593415,121.2833958,123.9667029
CO2,Building ,HKG,1.61508351,1.613987218,1.578464212,1.604750933,1.599873283,1.676619245,1.557296549,2.294501465,2.227871514
CO2,Building ,IND,159.47336,167.8414174,172.1584957,178.0845752,183.2116145,190.04839,191.9962816,176.7886264,188.6033403
CO2,Building ,IRN,135.3450701,133.9012368,135.8690904,144.1011363,136.7988362,141.2889605,141.9983997,149.2715836,153.1504612
CO2,Building ,IRQ,12.07355638,8.884624244,7.20969856,8.053789032,8.976767117,9.305962592,9.471162711,8.282732654,9.491006028
CO2,Building ,ITA,76.15003391,64.89938792,70.91129371,71.1040443,70.75813979,71.29872868,68.76282044,63.88639154,68.97626643
CO2,Building ,JPN,142.2975815,136.0581367,132.5461537,129.7899637,133.5618648,125.7527112,122.9030443,112.5517706,113.5973449
CO2,Building ,MAR,8.46271311,8.81682587,9.097074275,9.503306912,9.839339924,10.06959343,10.56814917,9.217930709,10.27850405
CO2,Building ,PAK ,18.64784231,19.39279574,20.10579242,21.2861595,21.07730668,21.80980353,22.21382879,20.77452346,22.85597262
CO2,Building ,PHL,6.350477194,7.185396613,7.081700692,8.621042762,10.19920301,10.67718412,11.25090209,9.224614681,10.10834475
CO2,Building ,SAU ,4.28217467,4.15778574,4.62381576,4.86124743,4.905839489,5.075230083,4.859384729,4.68501388,4.721295822
CO2,Building ,TUR,60.49704153,59.64530089,62.02412329,62.13206144,68.4836146,59.59878145,66.51072599,67.38078993,77.6086357
CO2,Building ,ARE,0.87449659,0.88046585,0.97000475,1.01775883,1.007098085,0.803545688,0.568977748,0.490666978,0.550212703
CO2,Building ,GBR,96.01914279,81.56781182,85.69653819,92.83466231,90.40016963,94.17343215,93.55713045,84.92204559,89.51538583
CO2,Building ,USA,578.1598097,593.2710221,560.6637729,542.7195442,543.3631787,596.9267778,589.7794091,565.2652017,571.064373
CO2,Other sectors,AUS,23.16855567,23.75301295,23.65291268,24.18114718,24.26071376,24.37388685,26.01787349,25.23009964,25.50156408
CO2,Other sectors,CAN,37.17739002,38.23822243,37.67764051,37.35222101,37.53618679,37.91249608,37.48093277,36.01407118,37.61470505
CO2,Other sectors,CHN,1547.927693,1674.327713,1636.647025,1666.341761,1701.874818,1786.507207,1894.576736,1959.519991,1949.384765
CO2,Other sectors,EGY,40.73922624,41.18952365,41.30229311,44.23389819,52.29375766,57.92287322,42.80229835,40.91471825,40.09187524
CO2,Other sectors,FRA,31.28831387,30.55822374,29.91654123,30.25828829,29.83812015,29.96837508,29.51451954,26.73448867,28.21979889
CO2,Other sectors,DEU,58.36778932,59.24750815,58.92998201,58.19550469,59.08465454,59.08270191,57.44482435,55.41684448,57.27974307
CO2,Other sectors,HKG,0.92442609,0.976461988,0.988923086,0.942833332,0.783563577,0.803825184,0.783407542,0.789957358,0.80273414
CO2,Other sectors,IND,221.5269503,214.4033168,222.369704,230.8564033,234.3637187,246.0714856,253.6888531,248.0351848,242.8129745
CO2,Other sectors,IRN,73.69390441,76.59175117,73.56471183,85.8473051,90.4280093,91.85970008,86.28419987,90.63734155,96.73870815
